ask-f46d89d7f-4nlzw:/app# grep -r "Sync up Flocs successfully-------------------- Total Record:" logs/
logs/debug.log:01:05:17.608 ,ip=                 ,s=                                 ,x=                               ,l=INFO  ,u=             ,c=SapPmServiceImpl               ,f=syncFlocByArea       ,t=kExecutor-21164 ,m=----------------------------Sync up Flocs successfully-------------------- Total Record: 2355 , AreaCode: 8219 ,cf=com.vsm.pms.task.service.impl.SapPmServiceImpl 
logs/debug.log:01:12:41.316 ,ip=                 ,s=                                 ,x=                               ,l=INFO  ,u=             ,c=SapPmServiceImpl               ,f=syncFlocByArea       ,t=kExecutor-21165 ,m=----------------------------Sync up Flocs successfully-------------------- Total Record: 8162 , AreaCode: 8211 ,cf=com.vsm.pms.task.service.impl.SapPmServiceImpl 
logs/debug.log:01:13:06.664 ,ip=                 ,s=                                 ,x=                               ,l=INFO  ,u=             ,c=SapPmServiceImpl               ,f=syncFlocByArea       ,t=kExecutor-21168 ,m=----------------------------Sync up Flocs successfully-------------------- Total Record: 2522 , AreaCode: 8214 ,cf=com.vsm.pms.task.service.impl.SapPmServiceImpl 
logs/debug.log:01:13:35.856 ,ip=                 ,s=                                 ,x=                               ,l=INFO  ,u=             ,c=SapPmServiceImpl               ,f=syncFlocByArea       ,t=kExecutor-21169 ,m=----------------------------Sync up Flocs successfully-------------------- Total Record: 3506 , AreaCode: 8203 ,cf=com.vsm.pms.task.service.impl.SapPmServiceImpl 
logs/debug.log:01:14:14.456 ,ip=                 ,s=                                 ,x=                               ,l=INFO  ,u=             ,c=SapPmServiceImpl               ,f=syncFlocByArea       ,t=kExecutor-21166 ,m=----------------------------Sync up Flocs successfully-------------------- Total Record: 19754 , AreaCode: 8208 ,cf=com.vsm.pms.task.service.impl.SapPmServiceImpl 
logs/debug.log:01:14:33.042 ,ip=                 ,s=                                 ,x=                               ,l=INFO  ,u=             ,c=SapPmServiceImpl               ,f=syncFlocByArea       ,t=kExecutor-21172 ,m=----------------------------Sync up Flocs successfully-------------------- Total Record: 1109 , AreaCode: 8212 ,cf=com.vsm.pms.task.service.impl.SapPmServiceImpl 
logs/debug.log:01:15:24.207 ,ip=                 ,s=                                 ,x=                               ,l=INFO  ,u=             ,c=SapPmServiceImpl               ,f=syncFlocByArea       ,t=kExecutor-21174 ,m=----------------------------Sync up Flocs successfully-------------------- Total Record: 1134 , AreaCode: 8202 ,cf=com.vsm.pms.task.service.impl.SapPmServiceImpl 
logs/pms-task-2024-05-19.1-info.log:00:43:14.616 ,ip=                 ,s=                                 ,x=                               ,l=INFO  ,u=             ,c=SapPmServiceImpl               ,f=syncFlocByArea       ,t=kExecutor-21134 ,m=----------------------------Sync up Flocs successfully-------------------- Total Record: 4818 , AreaCode: 8210 ,cf=com.vsm.pms.task.service.impl.SapPmServiceImpl 
logs/pms-task-2024-05-19.1-info.log:00:44:47.570 ,ip=                 ,s=                                 ,x=                               ,l=INFO  ,u=             ,c=SapPmServiceImpl               ,f=syncFlocByArea       ,t=kExecutor-21135 ,m=----------------------------Sync up Flocs successfully-------------------- Total Record: 14202 , AreaCode: 5036 ,cf=com.vsm.pms.task.service.impl.SapPmServiceImpl 
logs/pms-task-2024-05-19.1-info.log:00:46:02.239 ,ip=                 ,s=                                 ,x=                               ,l=INFO  ,u=             ,c=SapPmServiceImpl               ,f=syncFlocByArea       ,t=kExecutor-21133 ,m=----------------------------Sync up Flocs successfully-------------------- Total Record: 30763 , AreaCode: 8226 ,cf=com.vsm.pms.task.service.impl.SapPmServiceImpl 
logs/pms-task-2024-05-19.1-info.log:00:51:49.867 ,ip=                 ,s=                                 ,x=                               ,l=INFO  ,u=             ,c=SapPmServiceImpl               ,f=syncFlocByArea       ,t=kExecutor-21137 ,m=----------------------------Sync up Flocs successfully-------------------- Total Record: 1134 , AreaCode: 8202 ,cf=com.vsm.pms.task.service.impl.SapPmServiceImpl 
